Part No,Part Description in Use,Part Description,Site,Site Description,Part Type,Planner,Inventory UoM,Catch UoM,Input UoM Group,Input UoM Group Description,Commodity Group 1,Commodity Group 1 Description,Commodity Group 2,Commodity Group 2 Description,Asset Class,Asset Class Description,Part Status,Part Status Description,ABC Class,ABC Class Description,Abc Class Locked Until,Frequency Class,Frequency Class Locked Until,Lifecycle Stage,Lifecycle Stage Locked Until,Safety Code,Safety Code Description,Accounting Group,Accounting Group Description,Product Code,Product Code Description,Product Family,Product Family Description,Type Designation,Dimension/ Quality,Net Weight,Weight UoM,Net Volume,Volume UoM,Exclude from Shipment Packing Proposal,On Hand Qty,On Hand Catch Qty,Created,Modified,Document Text,Notes,Lead Time Code,Purchasing Lead Time,Earliest Unlimited Supply Date,Manufacturing Lead Time,Expected Lead Time,Supersedes Part,Superseded By Part,Shelf Life in Days,Minimum Remaining Days at CO Delivery,Minimum Remaining Days for Planning,Mandatory Expiration Date,Country of Origin,Country of Origin Description,Region Code,Region Code Description,Customs Statistics No,Customs Statistics No Description,Intrastat Conv Factor,Customs UoM,Supply Chain Part Group,Supply Chain Part Group Description,Default Mtrl Req Supply,Dop Connection,Dop Netting,Tech Coordinator,Qty Calc Rounding,Configurable,Inventory Valuation Method,Inventory Part Cost Level,Supplier Invoice Consideration,Zero Cost,Part Cost Group,Part Cost Group Description,External Service Cost Method,Cycle Counting Interval,Cum Count Diff,Cycle Counting,Reserve at order entry,Automatic Capability Check,Negative On Hand,Availability Check,Availability Check at CO Reserve,Online Consumption,Shortage Notification,Stock Management,Refill Putaway Zones,Refill Putaway Zones Operative Value,Refill Putaway Zones Source,Std Putaway Qty,Inventory Part Standard Name,Inventory Part Standard Name Description,Part Catalog Standard Name,Part Catalog Standard Name Description,GTIN,GTIN Series,Alternate Parts Exist,Characteristic Template,Operative Storage Width Requirement,Storage Width Requirement Source,Operative Storage Height Requirement,Storage Height Requirement Source,Operative Storage Depth Requirement,Storage Depth Requirement Source,UoM for Length,Qty per Volume,Operative Qty per Volume,Qty per Volume Source,UoM for Volume,Operative Storage Weight Requirement,Storage Weight Requirement Source,UoM for Weight,Operative Min Storage Temperature,Min Storage Temperature Source,Operative Max Storage Temperature,Max Storage Temperature Source,UoM for Temperature,Operative Min Storage Humidity (%),Min Storage Humidity (%) Source,Operative Max Storage Humidity (%),Max Storage Humidity (%) Source,HSN/SAC Code,HSN/SAC Code Description,Product Category,Product Category Description,Consumption Tax,Master Part Description
10.01,Normal Time,Normal Time,DES,PA-1,Purchased,*,h,,,,,,,,S,STANDARD,A,ACTIVE,C,5,,Very Slow Mover,,Development,,,,,,,,,,,,,kg,,m3,No,0,0,11/28/2022,6/17/2026,No,,Purchased,0,,0,0,,,,0,0,No,,,,,,,,,,,InventoryOrder,Automatic DOP,No Netting,,16,No,Weighted Average,Cost Per Part,Ignore Invoice Price,Zero Cost Forbidden,,,Exclude Service Cost,0,0,Not Cyclic Counting,Normal reservation,No Automatic Capability Check,Negative On Hand Not Allowed,No,No,No Online Consumption,No Shortage Notation,System Managed Inventory,,From All Stock Locations,Site,,,,0,*,,,No,,,Capacity Group,,Capacity Group,,Capacity Group,m,,,,m3,,,kg,,,,,Cel,,,,,,,,,No,Normal Time
VTZSR55,Ventechi Z series units,Ventechi Z series units,20,Ventechi Netherlands,Manufactured,*,pcs,,,,,,,,S,STANDARD,A,ACTIVE,C,5,,Very Slow Mover,,Development,,,,,,,,,,,,,kg,,l,No,0,0,8/5/2022,8/5/2022,No,,Manufactured,0,,0,0,,,,0,0,No,,,,,,,,,,,InventoryOrder,Automatic DOP,No Netting,,0,No,Standard Cost,Cost Per Part,Ignore Invoice Price,Zero Cost Forbidden,,,Exclude Service Cost,0,0,Not Cyclic Counting,Normal reservation,No Automatic Capability Check,Negative On Hand Not Allowed,No,No,No Online Consumption,No Shortage Notation,System Managed Inventory,,No Refill,Site,,,,0,*,,,No,,,,,,,,m,,,,l,,,kg,,,,,Cel,,,,,,,,,No,Ventechi Z series units
VTZSR55,Ventechi Z series units,Ventechi Z series units,10,Ventechi Sweden,Purchased,*,pcs,,,,,,,,S,STANDARD,A,ACTIVE,C,5,,Very Slow Mover,,Development,,,,,,,,,,,,,kg,,l,No,0,0,8/5/2022,7/23/2025,No,,Purchased,0,,0,0,,,,0,0,No,,,,,,,,,,,InventoryOrder,Automatic DOP,No Netting,,0,No,Weighted Average,Cost Per Part,Ignore Invoice Price,Zero Cost Forbidden,,,Exclude Service Cost,0,0,Not Cyclic Counting,Normal reservation,No Automatic Capability Check,Negative On Hand Not Allowed,No,No,No Online Consumption,No Shortage Notation,System Managed Inventory,,No Refill,Site,,,,0,*,,,No,,,,,,,,m,,,,l,,,kg,,,,,Cel,,,,,,,,,No,Ventechi Z series units
VTZSR55,Ventechi Z series units,Ventechi Z series units,30,Ventechi Germany,Manufactured,*,pcs,,,,,,,,S,STANDARD,A,ACTIVE,C,5,,Very Slow Mover,,Development,,,,,,,,,,,,,kg,,l,No,0,0,8/5/2022,8/5/2022,No,,Manufactured,0,,0,0,,,,0,0,No,,,,,,,,,,,InventoryOrder,Automatic DOP,No Netting,,0,No,Standard Cost,Cost Per Part,Ignore Invoice Price,Zero Cost Forbidden,,,Exclude Service Cost,0,0,Not Cyclic Counting,Normal reservation,No Automatic Capability Check,Negative On Hand Not Allowed,No,No,No Online Consumption,No Shortage Notation,System Managed Inventory,,No Refill,Site,,,,0,*,,,No,,,,,,,,m,,,,l,,,kg,,,,,Cel,,,,,,,,,No,Ventechi Z series units
VTZSR55,Ventechi Z series units,Ventechi Z series units,60,Ventechi US West,Manufactured,*,pcs,,,,,,,,S,STANDARD,A,ACTIVE,C,5,,Very Slow Mover,,Development,,,,,,,,,,,,,kg,,m3,No,0,0,8/5/2022,8/5/2022,No,,Manufactured,0,,0,0,,,,0,0,No,,,,,,,,,,,InventoryOrder,Automatic DOP,No Netting,,0,No,Standard Cost,Cost Per Part,Ignore Invoice Price,Zero Cost Forbidden,,,Exclude Service Cost,0,0,Not Cyclic Counting,Normal reservation,No Automatic Capability Check,Negative On Hand Not Allowed,No,No,No Online Consumption,No Shortage Notation,System Managed Inventory,,No Refill,Site,,,,0,*,,,No,,,,,,,,m,,,,m3,,,kg,,,,,Cel,,,,,,,,,No,Ventechi Z series units
VTZSR55,Ventechi Z series,Ventechi Z series,SH D,SH demand Site,Purchased,ALAIN,pcs,,,,,,,,S,STANDARD,A,ACTIVE,C,5,,Very Slow Mover,,Development,,,,,,,,,,,,,kg,,m3,No,0,0,12/13/2024,12/13/2024,No,,Purchased,0,,0,0,,,,0,0,No,,,,,,,,,,,InventoryOrder,Automatic DOP,No Netting,,0,No,Standard Cost,Cost Per Part,Ignore Invoice Price,Zero Cost Forbidden,,,Exclude Service Cost,0,0,Not Cyclic Counting,Normal reservation,No Automatic Capability Check,Negative On Hand Not Allowed,No,No,No Online Consumption,No Shortage Notation,System Managed Inventory,,No Refill,Site,,,,0,*,,,No,,,,,,,,m,,,,m3,,,kg,,,,,Cel,,,,,,,,,No,Ventechi Z series units
VTZSR55,Ventechi Z series,Ventechi Z series,SH S,SH Supply Site,Purchased,ALAIN,pcs,,,,,,,,S,STANDARD,A,ACTIVE,C,5,,Very Slow Mover,,Development,,,,,,,,,,,,,kg,,m3,No,0,0,4/29/2025,4/29/2025,No,,Purchased,0,,0,0,,,,0,0,No,,,,,,,,,,,InventoryOrder,Automatic DOP,No Netting,,0,No,Standard Cost,Cost Per Part,Ignore Invoice Price,Zero Cost Forbidden,,,Exclude Service Cost,0,0,Not Cyclic Counting,Normal reservation,No Automatic Capability Check,Negative On Hand Not Allowed,No,No,No Online Consumption,No Shortage Notation,System Managed Inventory,,No Refill,Site,,,,0,*,,,No,,,,,,,,m,,,,m3,,,kg,,,,,Cel,,,,,,,,,No,Ventechi Z series units
VTZSR55-I,Ventechi Z series indoor unit,Ventechi Z series indoor unit,10,Ventechi Sweden,Purchased,*,pcs,,,,P20Y1,P20Y1,,,S,STANDARD,A,ACTIVE,C,5,,Very Slow Mover,,Development,,,,A10X1,A10X1,,,,,,,,kg,,l,No,0,0,8/5/2022,6/12/2025,No,,Purchased,0,,0,0,,,,0,0,No,,,,,,,,,,,InventoryOrder,Automatic DOP,No Netting,,0,No,Standard Cost,Cost Per Part,Ignore Invoice Price,Zero Cost Forbidden,,,Exclude Service Cost,90,0,Cyclic Counting,Normal reservation,No Automatic Capability Check,Negative On Hand Not Allowed,No,No,No Online Consumption,No Shortage Notation,System Managed Inventory,No Refill,No Refill,Inventory Part,,,,0,*,,,No,,,,,,,,m,,,,l,,,kg,,,,,Cel,,,,,,,,,No,Ventechi Z series indoor unit
VTZSR55-I,Ventechi Z series indoor unit,Ventechi Z series indoor unit,20,Ventechi Netherlands,Manufactured,*,pcs,,,,,,,,S,STANDARD,A,ACTIVE,C,5,,Very Slow Mover,,Development,,,,,,,,,,,,,kg,,l,No,0,0,8/5/2022,8/5/2022,No,,Manufactured,0,,0,0,,,,0,0,No,,,,,,,,,,,InventoryOrder,Automatic DOP,No Netting,,0,No,Standard Cost,Cost Per Part,Ignore Invoice Price,Zero Cost Forbidden,,,Exclude Service Cost,0,0,Not Cyclic Counting,Normal reservation,No Automatic Capability Check,Negative On Hand Not Allowed,No,No,No Online Consumption,No Shortage Notation,System Managed Inventory,,No Refill,Site,,,,0,*,,,No,,,,,,,,m,,,,l,,,kg,,,,,Cel,,,,,,,,,No,Ventechi Z series indoor unit
VTZSR55-I,Ventechi Z series indoor unit,Ventechi Z series indoor unit,30,Ventechi Germany,Manufactured,*,pcs,,,,,,,,S,STANDARD,A,ACTIVE,C,5,,Very Slow Mover,,Development,,,,,,,,,,,,,kg,,l,No,0,0,8/5/2022,8/5/2022,No,,Manufactured,0,,0,0,,,,0,0,No,,,,,,,,,,,InventoryOrder,Automatic DOP,No Netting,,0,No,Standard Cost,Cost Per Part,Ignore Invoice Price,Zero Cost Forbidden,,,Exclude Service Cost,0,0,Not Cyclic Counting,Normal reservation,No Automatic Capability Check,Negative On Hand Not Allowed,No,No,No Online Consumption,No Shortage Notation,System Managed Inventory,,No Refill,Site,,,,0,*,,,No,,,,,,,,m,,,,l,,,kg,,,,,Cel,,,,,,,,,No,Ventechi Z series indoor unit
